,gene_ids
FAM157B,ENSG00000233013.10
ZMYND11,ENSG00000015171.19
WDR37,ENSG00000047056.16
KLF6,ENSG00000067082.15
AL513303.1,ENSG00000287175.1
AKR1C3,ENSG00000196139.14
TASOR2,ENSG00000108021.20
FBH1,ENSG00000134452.19
AL137186.2,ENSG00000232807.2
IL2RA,ENSG00000134460.18
PFKFB3,ENSG00000170525.21
PRKCQ-AS1,ENSG00000237943.7
AL392086.3,ENSG00000287277.1
SFMBT2,ENSG00000198879.12
GATA3,ENSG00000107485.18
PROSER2,ENSG00000148426.13
SEC61A2,ENSG00000065665.21
CAMK1D,ENSG00000183049.12
AL157392.3,ENSG00000239665.8
OLAH,ENSG00000152463.15
MINDY3,ENSG00000148481.14
RSU1,ENSG00000148484.18
TRDMT1,ENSG00000107614.22
VIM-AS1,ENSG00000229124.7
ST8SIA6,ENSG00000148488.17
STAM-AS1,ENSG00000260589.1
STAM,ENSG00000136738.15
MRC1,ENSG00000260314.3
NSUN6,ENSG00000241058.4
PLXDC2,ENSG00000120594.17
PIP4K2A,ENSG00000150867.14
OTUD1,ENSG00000165312.6
ARHGAP21,ENSG00000107863.18
PRTFDC1,ENSG00000099256.19
ENKUR,ENSG00000151023.17
FAM238A,ENSG00000233261.3
ANKRD26,ENSG00000107890.16
MPP7,ENSG00000150054.18
SVIL,ENSG00000197321.15
MAP3K8,ENSG00000107968.10
ZNF438,ENSG00000183621.15
ARHGAP12,ENSG00000165322.18
CCDC7,ENSG00000216937.13
AL365203.2,ENSG00000273038.2
ITGB1,ENSG00000150093.19
ITGB1-DT,ENSG00000229656.7
CREM,ENSG00000095794.19
ZNF248,ENSG00000198105.15
AL135791.1,ENSG00000236514.1
ZNF25,ENSG00000175395.16
ZNF33A,ENSG00000189180.16
ZNF37BP,ENSG00000234420.7
AC010864.1,ENSG00000273008.1
RASGEF1A,ENSG00000198915.11
AL353801.3,ENSG00000273363.1
RASSF4,ENSG00000107551.21
ALOX5,ENSG00000012779.11
MARCHF8,ENSG00000165406.16
FAM21FP,ENSG00000237840.6
AGAP4,ENSG00000188234.13
NCOA4,ENSG00000266412.5
BMS1P1,ENSG00000204177.10
AL591684.2,ENSG00000254929.6
WDFY4,ENSG00000128815.19
ERCC6,ENSG00000225830.14
SGMS1,ENSG00000198964.14
SGMS1-AS1,ENSG00000226200.7
IPMK,ENSG00000151151.6
UBE2D1,ENSG00000072401.15
ANK3,ENSG00000151150.22
CDK1,ENSG00000170312.16
RHOBTB1,ENSG00000072422.17
ARID5B,ENSG00000150347.16
RTKN2,ENSG00000182010.11
EGR2,ENSG00000122877.16
RUFY2,ENSG00000204130.13
TET1,ENSG00000138336.9
AL442635.1,ENSG00000274008.1
PRF1,ENSG00000180644.8
SGPL1,ENSG00000166224.17
CDH23,ENSG00000107736.21
VSIR,ENSG00000107738.20
PSAP,ENSG00000197746.14
SPOCK2,ENSG00000107742.13
DDIT4,ENSG00000168209.5
MICU1,ENSG00000107745.19
MCU,ENSG00000156026.14
AC073389.1,ENSG00000268584.1
GLUD1P3,ENSG00000250959.2
FUT11,ENSG00000196968.11
ZSWIM8,ENSG00000214655.10
NDST2,ENSG00000166507.19
VCL,ENSG00000035403.18
KAT6B,ENSG00000156650.14
SAMD8,ENSG00000156671.15
ZNF503,ENSG00000165655.17
LRMDA,ENSG00000148655.15
AC010997.6,ENSG00000279814.1
KCNMA1,ENSG00000156113.23
DLG5,ENSG00000151208.17
POLR3A,ENSG00000148606.13
AL135925.1,ENSG00000272447.1
AL603756.1,ENSG00000271933.1
BMPR1A,ENSG00000107779.14
ADIRF-AS1,ENSG00000272734.1
LINC00863,ENSG00000224914.4
RPL11P3,ENSG00000213613.2
ANKRD22,ENSG00000152766.6
AL157394.3,ENSG00000286116.1
CH25H,ENSG00000138135.7
IFIT2,ENSG00000119922.10
IFIT3,ENSG00000119917.14
IFIT1,ENSG00000185745.10
FGFBP3,ENSG00000174721.10
CPEB3,ENSG00000107864.15
HHEX,ENSG00000152804.11
MYOF,ENSG00000138119.17
PDLIM1,ENSG00000107438.9
ENTPD1,ENSG00000138185.20
ENTPD1-AS1,ENSG00000226688.7
CCNJ,ENSG00000107443.16
ZNF518A,ENSG00000177853.14
BLNK,ENSG00000095585.17
PIK3AP1,ENSG00000155629.15
FRAT1,ENSG00000165879.9
FRAT2,ENSG00000181274.7
RRP12,ENSG00000052749.14
PI4K2A,ENSG00000155252.13
ZFYVE27,ENSG00000155256.17
R3HCC1L,ENSG00000166024.13
PYROXD2,ENSG00000119943.13
SLC25A28,ENSG00000155287.11
AL353719.1,ENSG00000260475.1
DNMBP,ENSG00000107554.17
SEC31B,ENSG00000075826.17
SLF2,ENSG00000119906.13
LZTS2,ENSG00000107816.17
BTRC,ENSG00000166167.18
FBXW4,ENSG00000107829.15
GBF1,ENSG00000107862.5
C10orf95,ENSG00000120055.7
AL391121.1,ENSG00000272933.1
WBP1L,ENSG00000166272.18
SH3PXD2A,ENSG00000107957.16
GSTO1,ENSG00000148834.13
ITPRIP,ENSG00000148841.17
XPNPEP1,ENSG00000108039.18
MXI1,ENSG00000119950.21
DUSP5,ENSG00000138166.6
PDCD4-AS1,ENSG00000203497.2
GPAM,ENSG00000119927.14
TCF7L2,ENSG00000148737.17
NHLRC2,ENSG00000196865.4
AFAP1L2,ENSG00000169129.15
ABLIM1,ENSG00000099204.20
FAM160B1,ENSG00000151553.15
SHTN1,ENSG00000187164.20
AL731557.1,ENSG00000225936.1
PDZD8,ENSG00000165650.12
RAB11FIP2,ENSG00000107560.12
GRK5,ENSG00000198873.12
RGS10,ENSG00000148908.15
WDR11,ENSG00000120008.16
ATE1,ENSG00000107669.17
PLEKHA1,ENSG00000107679.14
CHST15,ENSG00000182022.18
FAM53B,ENSG00000189319.14
ZRANB1,ENSG00000019995.6
CTBP2,ENSG00000175029.17
EDRF1,ENSG00000107938.18
ADAM12,ENSG00000148848.14
PTPRE,ENSG00000132334.16
MKI67,ENSG00000148773.14
BNIP3,ENSG00000176171.11
LRRC27,ENSG00000148814.18
PWWP2B,ENSG00000171813.14
INPP5A,ENSG00000068383.19
UTF1,ENSG00000171794.4
VENTX,ENSG00000151650.8
ADAM8,ENSG00000151651.16
MTG1,ENSG00000148824.19
SCART1,ENSG00000214279.13
NLRP6,ENSG00000174885.12
AC136475.3,ENSG00000255026.1
PGGHG,ENSG00000142102.16
IFITM2,ENSG00000185201.16
IFITM1,ENSG00000185885.16
IFITM3,ENSG00000142089.16
AC136475.5,ENSG00000255328.1
PHRF1,ENSG00000070047.13
IRF7,ENSG00000185507.21
TMEM80,ENSG00000177042.14
TALDO1,ENSG00000177156.11
CD151,ENSG00000177697.19
TOLLIP-AS1,ENSG00000255153.1
DUSP8,ENSG00000184545.11
CTSD,ENSG00000117984.14
TNNI2,ENSG00000130598.16
ASCL2,ENSG00000183734.4
C11orf21,ENSG00000110665.12
TSPAN32,ENSG00000064201.16
CD81,ENSG00000110651.12
KCNQ1,ENSG00000053918.18
KCNQ1OT1,ENSG00000269821.1
CDKN1C,ENSG00000129757.13
SLC22A18AS,ENSG00000254827.6
PHLDA2,ENSG00000181649.8
OSBPL5,ENSG00000021762.20
OR52K3P,ENSG00000225101.6
HBB,ENSG00000244734.4
HBD,ENSG00000223609.11
HBG1,ENSG00000213934.9
TRIM22,ENSG00000132274.16
FAM160A2,ENSG00000051009.11
CAVIN3,ENSG00000170955.10
SMPD1,ENSG00000166311.10
TRIM3,ENSG00000110171.20
DNHD1,ENSG00000179532.13
ILK,ENSG00000166333.14
GVINP1,ENSG00000254838.5
PPFIBP2,ENSG00000166387.13
RIC3,ENSG00000166405.15
TRIM66,ENSG00000166436.16
TMEM9B-AS1,ENSG00000254860.6
DENND5A,ENSG00000184014.8
TMEM41B,ENSG00000166471.11
ZNF143,ENSG00000166478.10
SWAP70,ENSG00000133789.15
SBF2,ENSG00000133812.15
ADM,ENSG00000148926.10
AMPD3,ENSG00000133805.15
MTRNR2L8,ENSG00000255823.5
MRVI1,ENSG00000072952.18
ZBED5,ENSG00000236287.8
MICAL2,ENSG00000133816.15
ARNTL,ENSG00000133794.19
PDE3B,ENSG00000152270.9
PIK3C2A,ENSG00000011405.13
NUCB2,ENSG00000070081.17
SVIP,ENSG00000198168.9
TCP11L1,ENSG00000176148.16
LINC00294,ENSG00000280798.1
HIPK3,ENSG00000110422.12
FBXO3,ENSG00000110429.14
LMO2,ENSG00000135363.12
AL133330.1,ENSG00000251194.2
TRIM44,ENSG00000166326.7
PRR5L,ENSG00000135362.14
TRAF6,ENSG00000175104.15
ACCS,ENSG00000110455.14
CD82,ENSG00000085117.12
TSPAN18,ENSG00000157570.12
TP53I11,ENSG00000175274.18
CRY2,ENSG00000121671.12
PHF21A,ENSG00000135365.15
MDK,ENSG00000110492.15
SPI1,ENSG00000066336.12
AC090559.1,ENSG00000255197.6
AGBL2,ENSG00000165923.16
PTPRJ,ENSG00000149177.13
SERPING1,ENSG00000149131.16
ZFP91,ENSG00000186660.15
DTX4,ENSG00000110042.8
MPEG1,ENSG00000197629.6
STX3,ENSG00000166900.17
MS4A6A,ENSG00000110077.14
MS4A4A,ENSG00000110079.18
MS4A4E,ENSG00000214787.10
MS4A7,ENSG00000166927.13
MS4A14,ENSG00000166928.11
MS4A1,ENSG00000156738.18
SLC15A3,ENSG00000110446.11
CD6,ENSG00000013725.14
CD5,ENSG00000110448.11
VPS37C,ENSG00000167987.11
AP003108.2,ENSG00000256591.5
MYRF,ENSG00000124920.13
FADS3,ENSG00000221968.9
BEST1,ENSG00000167995.17
AP003733.3,ENSG00000279491.1
ASRGL1,ENSG00000162174.12
AHNAK,ENSG00000124942.14
EEF1G,ENSG00000254772.10
TUT1,ENSG00000149016.16
CSKMT,ENSG00000214756.8
LGALS12,ENSG00000133317.15
PLAAT4,ENSG00000133321.11
PLAAT3,ENSG00000176485.11
NAA40,ENSG00000110583.13
FERMT3,ENSG00000149781.12
CCDC88B,ENSG00000168071.22
LINC02723,ENSG00000231680.1
RASGRP2,ENSG00000068831.19
AP001462.1,ENSG00000269038.1
MIR194-2HG,ENSG00000229719.5
ATG2A,ENSG00000110046.13
PPP2R5B,ENSG00000068971.14
AP003068.2,ENSG00000254614.2
SLC25A45,ENSG00000162241.12
NEAT1,ENSG00000245532.9
AP000769.1,ENSG00000173727.12
LTBP3,ENSG00000168056.16
EHBP1L1,ENSG00000173442.13
PCNX3,ENSG00000197136.4
AP5B1,ENSG00000254470.3
EFEMP2,ENSG00000172638.13
CTSW,ENSG00000172543.8
CATSPER1,ENSG00000175294.6
CD248,ENSG00000174807.4
RIN1,ENSG00000174791.11
CTSF,ENSG00000174080.11
RBM14,ENSG00000239306.5
RBM4,ENSG00000173933.21
ANKRD13D,ENSG00000172932.16
CLCF1,ENSG00000175505.11
CARNS1,ENSG00000172508.10
PTPRCAP,ENSG00000213402.3
CORO1B,ENSG00000172725.14
CDK2AP2,ENSG00000167797.8
DOC2GP,ENSG00000231793.5
UNC93B1,ENSG00000110057.8
ALDH3B1,ENSG00000006534.16
TCIRG1,ENSG00000110719.10
AP002807.1,ENSG00000255031.5
KMT5B,ENSG00000110066.15
LTO1,ENSG00000149716.13
PPFIA1,ENSG00000131626.18
CTTN,ENSG00000085733.16
AP002387.2,ENSG00000254682.1
FOLR3,ENSG00000110203.9
FOLR2,ENSG00000165457.14
INPPL1,ENSG00000165458.14
PDE2A-AS2,ENSG00000256633.1
ARAP1,ENSG00000186635.14
AP002381.2,ENSG00000285693.1
ATG16L2,ENSG00000168010.11
FCHSD2,ENSG00000137478.15
P2RY2,ENSG00000175591.11
RELT,ENSG00000054967.13
PLEKHB1,ENSG00000021300.14
AP003717.4,ENSG00000287425.1
C2CD3,ENSG00000168014.16
PGM2L1,ENSG00000165434.8
KCNE3,ENSG00000175538.10
AP001372.2,ENSG00000254837.2
RNF169,ENSG00000166439.6
XRRA1,ENSG00000166435.15
ARRB1,ENSG00000137486.17
KLHL35,ENSG00000149243.15
GDPD5,ENSG00000158555.15
SERPINH1,ENSG00000149257.15
DGAT2,ENSG00000062282.15
GVQW3,ENSG00000179240.12
EMSY,ENSG00000158636.16
AP001189.1,ENSG00000236304.1
ACER3,ENSG00000078124.12
MYO7A,ENSG00000137474.22
PAK1,ENSG00000149269.10
USP35,ENSG00000118369.13
GAB2,ENSG00000033327.13
RAB30,ENSG00000137502.10
RAB30-DT,ENSG00000246067.8
AP000873.2,ENSG00000247137.9
ANKRD42,ENSG00000137494.14
CREBZF,ENSG00000137504.13
SYTL2,ENSG00000137501.17
PRSS23,ENSG00000150687.12
RAB38,ENSG00000123892.12
SLC36A4,ENSG00000180773.15
ANKRD49,ENSG00000168876.9
ENDOD1,ENSG00000149218.5
AP000787.1,ENSG00000245552.7
SESN3,ENSG00000149212.12
MAML2,ENSG00000184384.14
CEP126,ENSG00000110318.15
BIRC3,ENSG00000023445.16
DYNC2H1,ENSG00000187240.16
PDGFD,ENSG00000170962.13
CASP17P,ENSG00000235505.7
CASP5,ENSG00000137757.11
CARD16,ENSG00000204397.8
AP000766.1,ENSG00000261098.1
CWF19L2,ENSG00000152404.15
RAB39A,ENSG00000179331.3
AP003307.2,ENSG00000288012.1
NPAT,ENSG00000149308.17
ATM,ENSG00000149311.18
ZC3H12C,ENSG00000149289.11
POU2AF1,ENSG00000110777.12
LAYN,ENSG00000204381.11
SIK2,ENSG00000170145.5
LINC02762,ENSG00000250303.4
NCAM1,ENSG00000149294.16
USP28,ENSG00000048028.11
ZBTB16,ENSG00000109906.14
CADM1,ENSG00000182985.17
APOA1,ENSG00000118137.9
AP000936.3,ENSG00000234268.1
PAFAH1B2,ENSG00000168092.14
SIDT2,ENSG00000149577.16
TAGLN,ENSG00000149591.17
AP000892.4,ENSG00000280143.1
CEP164,ENSG00000110274.16
FXYD2,ENSG00000137731.14
FXYD6,ENSG00000137726.17
IL10RA,ENSG00000110324.11
JAML,ENSG00000160593.19
CD3E,ENSG00000198851.10
CD3D,ENSG00000167286.9
CD3G,ENSG00000160654.11
AP004609.5,ENSG00000278376.1
CXCR5,ENSG00000160683.5
BCL9L,ENSG00000186174.12
CCDC84,ENSG00000186166.9
AP003392.5,ENSG00000272186.1
H2AX,ENSG00000188486.3
CCDC153,ENSG00000248712.7
THY1,ENSG00000154096.14
NECTIN1,ENSG00000110400.11
ARHGEF12,ENSG00000196914.9
TBCEL,ENSG00000154114.12
SORL1,ENSG00000137642.13
CRTAM,ENSG00000109943.9
JHY,ENSG00000109944.11
VWA5A,ENSG00000110002.16
SIAE,ENSG00000110013.13
NRGN,ENSG00000154146.13
ESAM,ENSG00000149564.12
MSANTD2,ENSG00000120458.12
ROBO3,ENSG00000154134.15
SLC37A2,ENSG00000134955.12
FEZ1,ENSG00000149557.14
GSEC,ENSG00000280832.1
ST3GAL4,ENSG00000110080.18
ETS1,ENSG00000134954.14
SENCR,ENSG00000254703.2
ARHGAP32,ENSG00000134909.18
TMEM45B,ENSG00000151715.8
PRDM10,ENSG00000170325.14
APLP2,ENSG00000084234.17
ST14,ENSG00000149418.11
ZBTB44,ENSG00000196323.14
SNX19,ENSG00000120451.10
JAM3,ENSG00000166086.13
B3GAT1,ENSG00000109956.13
AC007406.5,ENSG00000261799.1
NINJ2-AS1,ENSG00000177406.5
RAD52,ENSG00000002016.18
ERC1,ENSG00000082805.20
CACNA2D4,ENSG00000151062.15
CACNA1C-AS1,ENSG00000246627.6
ITFG2,ENSG00000111203.13
CCND2,ENSG00000118971.8
CD9,ENSG00000010278.14
TNFRSF1A,ENSG00000067182.8
LTBR,ENSG00000111321.11
CD27-AS1,ENSG00000215039.7
CD27,ENSG00000139193.3
VAMP1,ENSG00000139190.16
IFFO1,ENSG00000010295.19
CHD4,ENSG00000111642.16
LPAR5,ENSG00000184574.10
ACRBP,ENSG00000111644.8
ING4,ENSG00000111653.20
PTMS,ENSG00000159335.17
LAG3,ENSG00000089692.9
CD4,ENSG00000010610.10
GPR162,ENSG00000250510.8
RPL13P5,ENSG00000240370.6
LRRC23,ENSG00000010626.15
ENO2,ENSG00000111674.9
ATN1,ENSG00000111676.15
PTPN6,ENSG00000111679.17
C1RL,ENSG00000139178.11
C1RL-AS1,ENSG00000205885.7
CLSTN3,ENSG00000139182.15
CD163,ENSG00000177575.12
SLC2A3,ENSG00000059804.16
FOXJ2,ENSG00000065970.9
C3AR1,ENSG00000171860.5
NECAP1,ENSG00000089818.18
AC006511.4,ENSG00000279865.1
CLEC4A,ENSG00000111729.14
FAM66C,ENSG00000226711.7
LINC00937,ENSG00000226091.7
CLEC4D,ENSG00000166527.8
CLEC4E,ENSG00000166523.8
RIMKLB,ENSG00000166532.16
PHC1,ENSG00000111752.11
KLRG1,ENSG00000139187.10
A2M-AS1,ENSG00000245105.4
LINC00987,ENSG00000237248.5
AC092821.4,ENSG00000284634.1
KLRB1,ENSG00000111796.4
AC010186.4,ENSG00000272917.1
AC010186.2,ENSG00000256594.8
AC010186.3,ENSG00000257027.1
CLEC2D,ENSG00000069493.15
CD69,ENSG00000110848.8
KLRF1,ENSG00000150045.12
CLEC2B,ENSG00000110852.4
CLEC12A,ENSG00000172322.14
CLEC1B,ENSG00000165682.14
CLEC12B,ENSG00000256660.6
CLEC7A,ENSG00000172243.18
GABARAPL1,ENSG00000139112.11
KLRD1,ENSG00000134539.17
AC022075.1,ENSG00000245648.2
KLRK1,ENSG00000213809.9
KLRC4,ENSG00000183542.5
KLRC3,ENSG00000205810.9
KLRC2,ENSG00000205809.9
KLRC1,ENSG00000134545.13
LINC02446,ENSG00000256039.2
KLRA1P,ENSG00000256667.6
YBX3,ENSG00000060138.13
ETV6,ENSG00000139083.11
DUSP16,ENSG00000111266.9
CDKN1B,ENSG00000111276.11
APOLD1,ENSG00000178878.12
GPRC5D-AS1,ENSG00000247498.10
HTR7P1,ENSG00000183935.5
ATF7IP,ENSG00000171681.12
PLBD1,ENSG00000121316.11
PLBD1-AS1,ENSG00000256751.6
H2AJ,ENSG00000246705.4
ERP27,ENSG00000139055.7
EPS8,ENSG00000151491.14
MGST1,ENSG00000008394.13
PLEKHA5,ENSG00000052126.14
SPX,ENSG00000134548.11
ST8SIA1,ENSG00000111728.10
LRMP,ENSG00000118308.15
AC087239.1,ENSG00000278743.1
ITPR2,ENSG00000123104.12
AC092747.4,ENSG00000275764.1
PPFIBP1,ENSG00000110841.14
AC022364.1,ENSG00000247934.4
OVCH1-AS1,ENSG00000257599.3
CAPRIN2,ENSG00000110888.17
ETFBKMT,ENSG00000139160.13
AMN1,ENSG00000151743.11
AC023157.2,ENSG00000276900.1
LINC02422,ENSG00000255760.2
RESF1,ENSG00000174718.12
FGD4,ENSG00000139132.14
CPNE8,ENSG00000139117.14
KIF21A,ENSG00000139116.18
ABCD2,ENSG00000173208.4
LRRK2-DT,ENSG00000225342.2
LRRK2,ENSG00000188906.16
YAF2,ENSG00000015153.14
PRICKLE1,ENSG00000139174.12
TMEM117,ENSG00000139173.10
NELL2,ENSG00000184613.10
PLEKHA8P1,ENSG00000134297.6
ANO6,ENSG00000177119.16
AC008124.1,ENSG00000273015.2
ARID2,ENSG00000189079.17
AC008014.1,ENSG00000257261.6
AMIGO2,ENSG00000139211.6
PCED1B-AS1,ENSG00000247774.7
AC004241.1,ENSG00000257433.6
AC024257.3,ENSG00000269514.3
ZNF641,ENSG00000167528.12
CCNT1,ENSG00000129315.11
CCDC65,ENSG00000139537.11
FKBP11,ENSG00000134285.11
WNT1,ENSG00000125084.12
KMT2D,ENSG00000167548.15
LMBR1L,ENSG00000139636.15
TUBA1B,ENSG00000123416.15
TUBA1A,ENSG00000167552.14
TUBA1C,ENSG00000167553.16
AC010173.1,ENSG00000258101.2
KCNH3,ENSG00000135519.8
FMNL3,ENSG00000161791.14
NCKAP5L,ENSG00000167566.17
AC074032.1,ENSG00000272368.2
DIP2B,ENSG00000066084.13
METTL7A,ENSG00000185432.12
SLC11A2,ENSG00000110911.16
CSRNP2,ENSG00000110925.7
TFCP2,ENSG00000135457.10
PHBP19,ENSG00000257246.1
SMAGP,ENSG00000170545.17
BIN2,ENSG00000110934.13
GALNT6,ENSG00000139629.16
SLC4A8,ENSG00000050438.17
ACVR1B,ENSG00000135503.13
GRASP,ENSG00000161835.11
NR4A1,ENSG00000123358.20
KRT7,ENSG00000135480.16
KRT1,ENSG00000167768.4
KRT18,ENSG00000111057.11
IGFBP6,ENSG00000167779.9
CSAD,ENSG00000139631.18
ZNF740,ENSG00000139651.11
ITGB7,ENSG00000139626.16
AC073611.1,ENSG00000257605.2
SP1,ENSG00000185591.10
PCBP2,ENSG00000197111.16
MAP3K12,ENSG00000139625.13
AC023509.3,ENSG00000270175.1
ATF7,ENSG00000170653.19
CALCOCO1,ENSG00000012822.16
NFE2,ENSG00000123405.14
ZNF385A,ENSG00000161642.17
ITGA5,ENSG00000161638.11
PDE1B,ENSG00000123360.12
METTL7B,ENSG00000170439.7
AC009779.3,ENSG00000258056.2
GDF11,ENSG00000135414.10
TMEM198B,ENSG00000182796.14
RPS26,ENSG00000197728.11
PAN2,ENSG00000135473.15
STAT2,ENSG00000170581.14
STAT6,ENSG00000166888.12
LRP1,ENSG00000123384.14
STAC3,ENSG00000185482.8
DDIT3,ENSG00000175197.12
MBD6,ENSG00000166987.15
DTX3,ENSG00000178498.16
AGAP2,ENSG00000135439.11
MARCHF9,ENSG00000139266.6
TAFA2,ENSG00000198673.10
USP15,ENSG00000135655.16
LINC01465,ENSG00000221949.5
AC048341.1,ENSG00000257354.2
RASSF3,ENSG00000153179.13
GNS,ENSG00000135677.11
TMBIM4,ENSG00000155957.17
IRAK3,ENSG00000090376.11
HELB,ENSG00000127311.10
DYRK2,ENSG00000127334.11
IFNG-AS1,ENSG00000255733.6
IFNG,ENSG00000111537.5
IL26,ENSG00000111536.5
IL22,ENSG00000127318.11
LINC02384,ENSG00000251301.7
RAP1B,ENSG00000127314.18
SLC35E3,ENSG00000175782.11
MDM2,ENSG00000135679.25
CPM,ENSG00000135678.12
AC020656.1,ENSG00000257764.2
FRS2,ENSG00000166225.8
PRANCR,ENSG00000257815.6
GLIPR1,ENSG00000139278.10
PHLDA1,ENSG00000139289.13
ZDHHC17,ENSG00000186908.14
PAWR,ENSG00000177425.11
PPP1R12A-AS1,ENSG00000257557.2
LIN7A,ENSG00000111052.7
METTL25,ENSG00000127720.8
TMTC2,ENSG00000179104.9
CEP290,ENSG00000198707.16
DUSP6,ENSG00000139318.8
POC1B-GALNT4,ENSG00000259075.6
POC1B-AS1,ENSG00000270344.3
ATP2B1,ENSG00000070961.15
ATP2B1-AS1,ENSG00000271614.1
LINC01619,ENSG00000257242.8
BTG1,ENSG00000133639.6
AC025164.2,ENSG00000245904.4
SOCS2,ENSG00000120833.14
PLXNC1,ENSG00000136040.9
TMCC3,ENSG00000057704.13
FGD6,ENSG00000180263.14
HAL,ENSG00000084110.11
LTA4H,ENSG00000111144.10
ELK3,ENSG00000111145.8
CDK17,ENSG00000059758.8
TMPO,ENSG00000120802.13
APAF1,ENSG00000120868.14
ANKS1B,ENSG00000185046.18
AC126474.2,ENSG00000280088.1
GOLGA2P5,ENSG00000238105.7
SCYL2,ENSG00000136021.19
GNPTAB,ENSG00000111670.16
DRAM1,ENSG00000136048.14
PMCH,ENSG00000183395.5
IGF1,ENSG00000017427.17
AC079316.1,ENSG00000258111.1
C12orf75,ENSG00000235162.9
CKAP4,ENSG00000136026.14
TCP11L2,ENSG00000166046.11
RIC8B,ENSG00000111785.21
MTERF2,ENSG00000120832.10
CRY1,ENSG00000008405.12
CMKLR1,ENSG00000174600.14
CORO1C,ENSG00000110880.10
SSH1,ENSG00000084112.15
ACACB,ENSG00000076555.15
KCTD10,ENSG00000110906.13
UBE3B,ENSG00000151148.14
TCHP,ENSG00000139437.18
C12orf76,ENSG00000174456.15
IFT81,ENSG00000122970.16
AC002350.2,ENSG00000278993.1
HVCN1,ENSG00000122986.13
LINC02356,ENSG00000257595.3
ATXN2,ENSG00000204842.18
ACAD10,ENSG00000111271.15
ALDH2,ENSG00000111275.13
HECTD4,ENSG00000173064.13
RPH3A,ENSG00000089169.15
OAS1,ENSG00000089127.13
TPCN1,ENSG00000186815.12
SLC8B1,ENSG00000089060.11
MED13L,ENSG00000123066.8
LINC00173,ENSG00000196668.4
FBXW8,ENSG00000174989.13
BICDL1,ENSG00000135127.11
DYNLL1,ENSG00000088986.11
SPPL3,ENSG00000157837.16
OASL,ENSG00000135114.12
P2RX7,ENSG00000089041.17
CAMKK2,ENSG00000110931.19
LINC01089,ENSG00000212694.8
AC084018.2,ENSG00000274292.1
SETD1B,ENSG00000139718.10
MLXIP,ENSG00000175727.14
HCAR2,ENSG00000182782.8
HCAR3,ENSG00000255398.3
HIP1R,ENSG00000130787.14
VPS37B,ENSG00000139722.7
AC027290.3,ENSG00000280138.1
PITPNM2,ENSG00000090975.12
SBNO1-AS1,ENSG00000256092.2
RILPL1,ENSG00000188026.13
CCDC92,ENSG00000119242.8
LINC00944,ENSG00000256128.6
SLC15A4,ENSG00000139370.12
AC108704.2,ENSG00000279500.1
GLT1D1,ENSG00000151948.12
MMP17,ENSG00000198598.6
ULK1,ENSG00000177169.10
AC131009.4,ENSG00000279283.1
AC131212.2,ENSG00000279700.1
GOLGA3,ENSG00000090615.15
AC127070.4,ENSG00000278949.1
ZNF605,ENSG00000196458.11
ZNF26,ENSG00000198393.8
ZNF84,ENSG00000198040.10
ZNF891,ENSG00000214029.5
ZNF10,ENSG00000256223.6
GJB2,ENSG00000165474.8
GJB6,ENSG00000121742.19
LATS2,ENSG00000150457.9
AL136962.1,ENSG00000276476.3
SPATA13,ENSG00000182957.16
USP12,ENSG00000152484.14
PAN3,ENSG00000152520.14
EEF1A1P3,ENSG00000232587.1
SLC46A3,ENSG00000139508.15
LINC00426,ENSG00000238121.6
ALOX5AP,ENSG00000132965.9
FRY,ENSG00000073910.22
N4BP2L2-IT2,ENSG00000281026.1
NHLRC3,ENSG00000188811.14
LHFPL6,ENSG00000183722.9
ELF1,ENSG00000120690.16
RGCC,ENSG00000102760.13
VWA8,ENSG00000102763.18
EPSTI1,ENSG00000133106.14
CCDC122,ENSG00000151773.13
TSC22D1,ENSG00000102804.15
AL138963.4,ENSG00000273149.1
TPT1-AS1,ENSG00000170919.16
RUBCNL,ENSG00000102445.18
LPAR6,ENSG00000139679.15
RCBTB2,ENSG00000136161.12
CYSLTR2,ENSG00000152207.7
SETDB2,ENSG00000136169.16
ARL11,ENSG00000152213.4
DLEU2,ENSG00000231607.12
TRIM13,ENSG00000204977.10
AL137060.3,ENSG00000274270.1
AL359513.1,ENSG00000278238.1
PIBF1,ENSG00000083535.16
KLF5,ENSG00000102554.14
KLF12,ENSG00000118922.17
LINC00402,ENSG00000235532.1
KCTD12,ENSG00000178695.6
NDFIP2,ENSG00000102471.14
SPRY2,ENSG00000136158.12
ABCC4,ENSG00000125257.16
DNAJC3-DT,ENSG00000247400.4
MBNL2,ENSG00000139793.18
RAP2A,ENSG00000125249.7
GPR183,ENSG00000169508.7
ERCC5,ENSG00000134899.22
TNFSF13B,ENSG00000102524.11
IRS2,ENSG00000185950.9
RAB20,ENSG00000139832.5
ARHGEF7,ENSG00000102606.18
ATP11A,ENSG00000068650.18
DCUN1D2,ENSG00000150401.15
TMCO3,ENSG00000150403.18
TMEM255B,ENSG00000184497.13
GAS6-AS1,ENSG00000233695.2
GAS6,ENSG00000183087.15
RASA3,ENSG00000185989.11
CDC16,ENSG00000130177.16
TEP1,ENSG00000129566.13
RNASE6,ENSG00000169413.3
RNASE1,ENSG00000129538.14
RNASE2,ENSG00000169385.3
ARHGEF40,ENSG00000165801.10
ZNF219,ENSG00000165804.16
LINC00641,ENSG00000258441.1
